ticker,name,market,security_type,ohlcv_rows,trade_dates,min_date,max_date,has_krx
448900,한국피아이엠,KOSDAQ,,274,274,2025-04-04,2026-05-20,t
449020,유안타제13호스팩,KOSDAQ,,635,635,2023-02-28,2025-10-02,t
450050,하이제8호스팩,KOSDAQ,,634,634,2023-06-22,2026-01-28,t
450080,에코프로머티,KOSPI,,608,608,2023-11-17,2026-05-20,t
450140,코오롱모빌리티그룹,KOSPI,,715,715,2023-01-31,2026-01-06,t
45014K,코오롱모빌리티그룹우,KOSPI,,715,715,2023-01-31,2026-01-06,t
450330,하스,KOSDAQ,,456,456,2024-07-03,2026-05-20,t
450410,엔에이치스팩28호,KOSDAQ,,195,195,2023-03-09,2023-12-20,t
450520,인스웨이브,KOSDAQ,,642,642,2023-09-25,2026-05-20,t
450940,유안타제14호스팩,KOSDAQ,,630,630,2023-07-27,2026-03-04,t
450950,아스테라시스,KOSDAQ,,319,319,2025-01-24,2026-05-20,t
451220,아이엠티,KOSDAQ,,636,636,2023-10-10,2026-05-20,t
451250,삐아,KOSDAQ,,501,501,2024-04-25,2026-05-20,t
451700,엔에이치스팩29호,KOSDAQ,,707,707,2023-06-23,2026-05-20,t
451760,컨텍,KOSDAQ,,614,614,2023-11-09,2026-05-20,t
451800,한화리츠,KOSPI,,767,767,2023-03-27,2026-05-20,t
452160,제이엔비,KOSDAQ,,603,603,2023-11-24,2026-05-20,t
452190,한빛레이저,KOSDAQ,,577,577,2024-01-04,2026-05-20,t
452200,민테크,KOSDAQ,,496,496,2024-05-03,2026-05-20,t
452260,한화갤러리아,KOSPI,,763,763,2023-03-31,2026-05-20,t
45226K,한화갤러리아우,KOSPI,,763,763,2023-03-31,2026-05-20,t
452280,한선엔지니어링,KOSDAQ,,603,603,2023-11-24,2026-05-20,t
452300,캡스톤파트너스,KOSDAQ,,610,610,2023-11-15,2026-05-20,t
452400,이닉스,KOSDAQ,,557,557,2024-02-01,2026-05-20,t
452430,사피엔반도체,KOSDAQ,,547,547,2024-02-19,2026-05-20,t
452450,피아이이,KOSDAQ,,316,316,2025-02-04,2026-05-20,t
452670,상상인제4호스팩,KOSDAQ,,629,629,2023-09-14,2026-04-20,t
452980,신한제11호스팩,KOSDAQ,,629,629,2023-10-04,2026-05-06,t
453340,현대그린푸드,KOSPI,,757,757,2023-04-10,2026-05-20,t
453450,그리드위즈,KOSDAQ,,469,469,2024-06-14,2026-05-20,t
453860,에이에스텍,KOSDAQ,,601,601,2023-11-28,2026-05-20,t
454640,하나29호스팩,KOSDAQ,,634,634,2023-06-28,2026-02-03,t
454750,하나28호스팩,KOSDAQ,,534,534,2023-08-10,2025-10-24,t
454910,두산로보틱스,KOSPI,,638,638,2023-10-05,2026-05-20,t
455180,케이지에이,KOSDAQ,,227,227,2025-06-17,2026-05-20,t
455250,KB제25호스팩,KOSDAQ,,632,632,2023-06-23,2026-01-27,t
455310,한화플러스제4호스팩,KOSDAQ,,630,630,2023-09-07,2026-04-14,t
455900,엔젤로보틱스,KOSDAQ,,522,522,2024-03-26,2026-05-20,t
455910,에스케이증권제9호스팩,KOSDAQ,,633,633,2023-07-21,2026-03-03,t
456010,아이씨티케이,KOSDAQ,,488,488,2024-05-17,2026-05-20,t
456040,OCI,KOSPI,,724,724,2023-05-30,2026-05-20,t
456070,이엔셀,KOSDAQ,,420,420,2024-08-23,2026-05-20,t
456160,지투지바이오,KOSDAQ,,185,185,2025-08-14,2026-05-20,t
456440,DB금융스팩11호,KOSDAQ,,447,447,2023-07-12,2025-05-15,t
456490,교보14호스팩,KOSDAQ,,632,632,2023-07-06,2026-02-09,t
457190,이수스페셜티케미컬,KOSPI,,723,723,2023-05-31,2026-05-20,t
457370,한켐,KOSDAQ,,384,384,2024-10-22,2026-05-20,t
